67,radish.webp,Radishes,Labanos,"Radishes are annual or biennial brassicaceous crops grown for their swollen tap roots which can be globular, tapering, or cylindrical. The root skin colour ranges from white through pink, red, purple, yellow, and green to black, but the flesh is usually white.",one-fourth to one-half inch deep. ,1-3 inches apart in row with rows 12 inches apart., soak the soil thoroughly at least once a week.,5
68,raspberry.jpg,Raspberries,none,"Raspberries are a small, deeply colored berry. The fruit has a sweet taste and delicate, spongy texture.. They can be eaten raw, or made into smoothies, jams, or baked goods.","Shovel – Raspberries need to be planted about 12 inches deep, so a shovel is going to be the best tool for this. Soil – Raspberries grow best in well-drained soil with a pH of 5.5 – 6.5",Space plants 2 to 3 feet apart in the rows. Some fall-bearing raspberries can be planted at 1.5-foot spacing and produce higher yields. ,Raspberries need 1 to 1.5 inches of water per week from flowering until harvest.,"5, 3"
69,rice.jpg,Rice,Bigas,"Edible starchy cereal grain and the grass plant (family Poaceae) by which it is produced. Roughly one-half of the world population, including virtually all of East and Southeast Asia, is wholly dependent upon rice as a staple food; 95 percent of the world's rice crop is eaten by humans.",a depth of between 3 - 4 cm,Seedlings are normally hand transplanted 20 -25 cm apart,"water levels should be around 3 cm initially, and gradually increase to 5?10 cm (with increasing plant height) and remain there until the field is drained 7?10 days before harvest.","2,5"
70,rosemary.jpg,Rosemary,Romero,"Salvia rosmarinus (ˈsælviə ˌrɒsməˈraɪnəs), commonly known as rosemary, is a shrub with fragrant, evergreen, needle-like leaves and white, pink, purple, or blue flowers, native to the Mediterranean region.",1 - 2 inch,2 to 3 feet apart,every 1 to 2 weeks,5
71,sage.jpg,Sage,Sambong,"Sage is a hardy, perennial herb plant that can grow to about 12 to 24 inches tall. Several species develop woody stems and grow more like a shrub. Like other Lamiaceae plants, sage has square stems and simple, paired, opposite leaves.",¼ inch deep. ,18 to 24 inches apart,once or twice per week.,5
72,chiko.webp,Sapodilla,chiko,"The sapodilla tree is a slow-growing evergreen that can reach heights of 100 feet. Strong and wind-resistant, it maintains an extensive root system. Within the tree's bark is the white, gummy sap the tree is famous for, called chicle. The glossy green leaves are clustered in spirals at the tip of forked twigs.",Sowing depth: Sowing is done in a 1m deep pit.,130 plants are planted at a spacing of 8.5m. High density planting with a spacing of 5x5 m.,"During summer, Water daily or when the soil starts to become slightly dry at the top.","5,3"
73,sayote.jpg,Sayote (Chayote),none,"The most common vegetable found in backyards, wrapped around a tree or scatters on some bushes. Sayote belongs to the same family as melons, squash, and cucumbers. In the present time, different people have been innovating sayote, adding it to tea and some pastries.","Set a whole chayote fruit about 4 to 6 inches (10-15cm)deep, fat end down, and at an angle so that the stem end is just level with the soil surface. ",Space plants 7-11 feet apart. The trellis is about 6 feet tall and needs to be solid to support the growing vines.,Chayote needs ample soil moisture for good growth. Irrigation is necessary during dry spells in the growing cycle. Do not allow the soil to be waterlogged.,"2,3"
74,guyabano.webp,Soursop,Guyabano,"A large compound fruit 15-30 - 10-20 cm in size and weighing up to 3 kg. The fleshy pulp contains many seeds. The fruits are eaten raw or used for juice, icecream or desserts.",depth of 0.9 - 1.2 cm,Plants are spaced 12-14 m apart.,0.8 cups of water every 9 days,"5,2,3"
75,squash.jpg,Squash,Kalabasa,"Plants are upright and spreading, 45 to 75 cm (18 to 30 inches) high, and produce a great diversity of fruit forms, from flattened through oblong to elongate and crooked fruits, coloured from white through cream to yellow, green, and variegated. Fruit surfaces or contours may be scalloped, smooth, ridged, or warty.",12 to 1 inch deep ,0.5 m between hills on mounds during wet season and in furrows during dry season. Plant another 2-3 seeds 5-7 m between 2 rows of plants,Vine crops need about one inch of water from rainfall or irrigation each week during the growing season.,5
76,caimito.webp,Star apple,Caimito,"Also known as the caimito or cainito, the star apple (Chrysophyllum cainito) is a deep purple fruit named for the star-shaped pattern formed by its seeds. The fruits are very sweet, with a pulpy, jelly-like texture and a taste some compare to applesauce with hints of tropical fruits and grape.",Dig a hole 3 to 4 times the diameter and 3 times as deep,10-25 feet between trees is recommended.,star apple should be watered once every 2-3 weeks,"5,3"
77,strawberries.jpg,Strawberries,none,"Strawberries are soft, sweet, bright red berries. They're also delicious. Strawberries have tiny edible seeds, which grow all over their surface. When ripe, strawberries smell wonderful and taste even better.",Strawberries only need about 4-6 inches of soil for their roots so shallow containers will work.,Strawberries need full sun to produce maximum fruit. Space plants 12 to 18 inches apart. ,"During normal weather conditions, strawberries need water equal to 1 to 1.5 inches of rain each week. During hot, dry periods, water as needed to prevent shallow roots from drying out.","5,3"
78,sugarcane.jpg,Sugarcane,Tubo,"Sugarcane is a giant tropical grass from the family Graminaceae, whose stalk has the particular capacity to store a crystallizable sugar, sucrose.",About 80% of the sugarcane roots go up to a depth 60 cm.,rows are made 90cm apart and settlings are spaced at 45 � 90cm.,1 to 2 inches (2.5-5 cm.) of water each week,3
79,kamote.webp,Sweet Potato,Kamote,"These are similar to yams and it comes in purple and yellow. Normally used both in savory and sweet dishes, sweet potatoes have a distinct sweetness that is most commonly used in desserts. Fried, baked or mixed in with pastry or cake, kamote is known for its orange hue. Sweet potatoes are also perfect for breakfast or for snacks by simply boiling it.",Plant 1 cutting per hill vertically on furrows for sandy loam soil and on ridges for clay loam soil. Depth of planting is 10-15 cm in moist soil and 15-20 cm in a little bit dry soil. Bury about ½ of the cutting into the soil when there is enough soil moisture and 23 when the soil is a bit dry.,"Plant sweet potatoes about 12 to 18 inches apart, and allow 3 feet between rows so the vines will have plenty of room to run.","Newly planted sweet potato slips will need to be watered daily during their first week outside. Watering every other day during the second week will help establish plants. Once the plants are established, sweet potatoes can be watered once a week.","5,3"
80,taro.jpg,Taro,Gabi ,"Taro, herbaceous plant of the arum family (Araceae) and its edible rootlike corm. It is likely native to southeastern Asia and is a staple crop on Pacific islands. ","In a dry setting, taro corms are planted in furrows or trenches about 6 inches (15cm) deep and covered by 2 to 3 inches (5-8cm) of soil.","From our preliminary interpretation of the results, a 1 x 3 or 1 x 4 plant spacing appears to be the most appropriate.",Taro prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.,3
81,thyme.jpg,Thyme,Tomilyo,"Thyme is a small perennial shrub that grows 4-12 inches in height with slender, wiry, and spreading branches. It has small green-grey evergreen leaves and violet colored flowers. Thyme prefers dry chalky soil and tolerates drought once it is established. It thrives in full sun, but also tolerates partial shade.",¼ inch deep. ,12 to 24 inches apart,every 10–15 days.,5
82,tabako.jpg,Tobacco,Tabako,"a plant (Nicotiana tabacum and Nicotiana rustica) that contains nicotine, an addictive drug with both stimulant and depressant effects.",15-20 cm.,1.5 metres (5 feet) apart and 91 to 107 cm (36 to 42 inches) between plants.,Tobacco may be irrigated any time during the day or night,"6,3,5"
83,tomato.jpg,Tomatoes,Kamatis,"The Tomato plant can grow up to 9 feet tall with soft and hairy stems. It has 5-9 leaflets and the leaves can be 4 to 24 inches long. The flowers on the tomato plant are small, yellow and have five pointed lobes on the corolla.",Full 23 of the plant is underground,18 to 24 inches apart in the row and space rows 36 to 48 inches apart , 1-2 inches of water a week.,5
84,kangkong.png,Water Spinach,Kangkong,"Kangkong is a tropical plant that grows where there is a lot of water. The stem and the leaves are cooked and eaten, normally steamed and stir-fried.  Another way to enjoy kangkong is to coat it with some batter and fry it with oil. Kangkong is also used in Asian dishes, it can be best paired with bagoong (shirmp paste) or anchovies. In some restaurants, it is brushed with oil to preserve its texture.",plant them 6-7.5 inches (15-20 cm) deep.,Growers plant in beds with 6 – 10 seeds per foot in rows that are 6 – 8 inches wide.,The ideal watering regimen for water spinach is twice a week to maintain the hydration level it naturally prefers.,"5,2"
85,watermelon.jpg,Watermelon,Pakwan,"Watermelons are typically round or oblong with a smooth, green rind that can be solid or striped. Watermelon is known for its sweet, refreshing taste and high water content (around 92% water!), making it ideal for staying hydrated on hot days.",1 inch deep,6 to 8 feet apart, 1 inch of water per week,5
86,winged-bean.png,Winged bean,Sigarilyas,"The winged bean plant grows as a vine with climbing stems and leaves, 3–4 m (10–13 ft) in height. It is an herbaceous perennial, but can be grown as an annual. It is generally taller and notably larger than the common bean. The leaves can be 15 cm (6 in) long.[2] The shape of its leaves ranges from ovate to deltoid, ovate-lanceolate, lanceolate, and long lanceolate.","Plant seeds 2-2.5 cm (1 in) deep, 7-8 cm (3 in) apart in rows 30-40 cm (12-15 in) apart, in a sunny location, after danger of frost is past. Winged Bean is a vigorous vine; use a trellis support for improved leaf and pod yields. ","Plant seeds 1 inch deep, two feet apart, set rows 4 feet apart.",Water when the soil is dry about 5cm below the surface (test this by scratching away a little soil with your finger). Water deeply in the early morning or late afternoon. Avoid watering the leaves of plants to avoid fungal diseases.,"2,3"
87,yarrow.webp,Yarrow,Yaro,"A member of the aster or composite family (Asteraceae), yarrow has flat-topped or dome-shaped clusters of small white flowers that bloom from April to October. An attractive, hardy perennial, yarrow can reach about 3 feet in height. Its aromatic, fine, feathery-cut leaves give the plant a soft, fern-like appearance.",20 cm deep, 1 to 2 feet apart.,at least 1 inch of water per week till established.,5
88,zucchini.jpg,Zucchini,Pipino,"Zucchini plants are typically bushy and non-vining, though some varieties have a creeping habit. The leaves are large and palmately lobed, and both the stems and the leaves have small prickly trichomes (plant hairs).",one-half inch deep,18-24 apart in rows 6' apart.,"One inch of water per week should suffice, but water more often if the weather is particularly hot and dry.",5
